,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,Frequency
146,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-18,Financial account - portfolio investment: - assets - in mln EUR (line 18),2020,2020-01-01,-3452.0,-3452.0,A,Annually
147,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-19,Financial account - portfolio investment: - liabilities - in mln EUR (line 19),2000,2000-01-01,NA,,A,Annually
148,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-19,Financial account - portfolio investment: - liabilities - in mln EUR (line 19),2001,2001-01-01,NA,,A,Annually
149,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-19,Financial account - portfolio investment: - liabilities - in mln EUR (line 19),2002,2002-01-01,NA,,A,Annually
150,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-19,Financial account - portfolio investment: - liabilities - in mln EUR (line 19),2003,2003-01-01,NA,,A,Annually
151,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-19,Financial account - portfolio investment: - liabilities - in mln EUR (line 19),2004,2004-01-01,8489.0,8489.0,A,Annually
152,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-19,Financial account - portfolio investment: - liabilities - in mln EUR (line 19),2005,2005-01-01,11797.0,11797.0,A,Annually
153,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-19,Financial account - portfolio investment: - liabilities - in mln EUR (line 19),2006,2006-01-01,1483.0,1483.0,A,Annually
154,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-19,Financial account - portfolio investment: - liabilities - in mln EUR (line 19),2007,2007-01-01,-24.0,-24.0,A,Annually
155,annual,STATPOL,ABOP,BALANCE OF PAYMENTS,ABOP-19,Financial account - portfolio investment: - liabilities - in mln EUR (line 19),2008,2008-01-01,-3656.0,-3656.0,A,Annually
