,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,frequency,Frequency
1193,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-04,2022-04-01,45.66,45.66,M,Monthly
1194,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-05,2022-05-01,44.1,44.1,M,Monthly
1195,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-06,2022-06-01,41.91,41.91,M,Monthly
1196,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-07,2022-07-01,42.22,42.22,M,Monthly
1197,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-08,2022-08-01,41.56,41.56,M,Monthly
1198,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-09,2022-09-01,42.44,42.44,M,Monthly
1199,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-10,2022-10-01,43.63,43.63,M,Monthly
1200,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-11,2022-11-01,44.4,44.4,M,Monthly
1201,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2022-12,2022-12-01,44.04,44.04,M,Monthly
1202,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-01,2023-01-01,46.05,46.05,M,Monthly
1203,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-02,2023-02-01,47.35,47.35,M,Monthly
1204,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-03,2023-03-01,48.01,48.01,M,Monthly
1205,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-04,2023-04-01,47.86,47.86,M,Monthly
1206,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-05,2023-05-01,46.87,46.87,M,Monthly
1207,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-06,2023-06-01,41.79,41.79,M,Monthly
1208,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-07,2023-07-01,39.83,39.83,M,Monthly
1209,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-08,2023-08-01,42.8,42.8,M,Monthly
1210,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-09,2023-09-01,45.1,45.1,M,Monthly
1211,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-10,2023-10-01,45.27,45.27,M,Monthly
1212,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-11,2023-11-01,44.72,44.72,M,Monthly
1213,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2023-12,2023-12-01,44.89,44.89,M,Monthly
1214,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-01,2024-01-01,46.31,46.31,M,Monthly
1215,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-02,2024-02-01,47.16,47.16,M,Monthly
1216,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-03,2024-03-01,47.18,47.18,M,Monthly
1217,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-04,2024-04-01,48.46,48.46,M,Monthly
1218,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-05,2024-05-01,49.84,49.84,M,Monthly
1219,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-06,2024-06-01,50.15,50.15,M,Monthly
1220,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-07,2024-07-01,50.94,50.94,M,Monthly
1221,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-08,2024-08-01,50.62,50.62,M,Monthly
1222,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-09,2024-09-01,51.14,51.14,M,Monthly
1223,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-10,2024-10-01,52.41,52.41,M,Monthly
1224,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-11,2024-11-01,53.91,53.91,M,Monthly
1225,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpidicree,CPI - Developing Countries Based Real Effective Exchange Rate (2003=100),2024-12,2024-12-01,53.81,53.81,M,Monthly
1226,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-01,1994-01-01,100.71,100.71,M,Monthly
1227,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-02,1994-02-01,85.22,85.22,M,Monthly
1228,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-03,1994-03-01,76.13,76.13,M,Monthly
1229,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-04,1994-04-01,67.32,67.32,M,Monthly
1230,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-05,1994-05-01,69.41,69.41,M,Monthly
1231,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-06,1994-06-01,74.77,74.77,M,Monthly
1232,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-07,1994-07-01,76.82,76.82,M,Monthly
1233,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-08,1994-08-01,77.05,77.05,M,Monthly
1234,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-09,1994-09-01,75.4,75.4,M,Monthly
1235,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-10,1994-10-01,79.61,79.61,M,Monthly
1236,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-11,1994-11-01,82.49,82.49,M,Monthly
1237,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1994-12,1994-12-01,81.55,81.55,M,Monthly
1238,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-01,1995-01-01,79.04,79.04,M,Monthly
1239,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-02,1995-02-01,79.37,79.37,M,Monthly
1240,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-03,1995-03-01,79.12,79.12,M,Monthly
1241,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-04,1995-04-01,81.42,81.42,M,Monthly
1242,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-05,1995-05-01,82.27,82.27,M,Monthly
1243,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-06,1995-06-01,83.13,83.13,M,Monthly
1244,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-07,1995-07-01,82.03,82.03,M,Monthly
1245,monthly,TCMB,CPIREER,CPI Based Real Effective Exchange Rate (2003=100),cpiree,CPI Based Real Effective Exchange Rate (2003=100),1995-08,1995-08-01,81.63,81.63,M,Monthly
