,period,value,dataset_name,FREQ,REF_AREA,series_name,series_code
119,2020-04-01,140.3279,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
120,2020-07-01,143.3176,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
121,2020-10-01,147.011,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
122,2021-01-01,150.7852,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
123,2021-04-01,156.1967,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
124,2021-07-01,161.5798,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
125,2021-10-01,165.7446,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
126,2022-01-01,171.7669,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
127,2022-04-01,175.4152,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
128,2022-07-01,175.216,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
129,2022-10-01,173.7963,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
130,2023-01-01,174.3697,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
131,2023-04-01,175.7573,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
132,2023-07-01,177.5976,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
133,2023-10-01,177.6913,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
134,2024-01-01,178.8989,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
135,2024-04-01,180.809,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
136,2024-07-01,182.7404,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
137,2024-10-01,183.9078,Selected residential property prices,Q,5R,"Quarterly – Advanced economies – Nominal – Index, 2010 = 100",Q.5R.N.628
138,1986-07-01,34.2565,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
139,1986-10-01,32.3709,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
140,1987-01-01,35.0422,Selected residential property prices,Q,AT,"Quarterly – Austria – Nominal – Index, 2010 = 100",Q.AT.N.628
